,artist_name,track_name,year,energy,danceability,loudness,acousticness,speechiness,liveness,valence,bpm,duration
126,Rihanna,Where Have You Been,2012,0.085,0.072,-0.006,0.0,0.0009,0.0022,0.044,0.128,243.0
127,Katy Perry,Wide Awake,2012,0.068,0.051,-0.005,7e-05,0.0004,0.0039,0.057,0.16,221.0
128,Katy Perry,The One That Got Away,2012,0.08,0.069,-0.004,0.0,0.0004,0.0016,0.088,0.134,227.0
129,Jennifer Lopez,Dance Again,2012,0.086,0.079,-0.005,2e-05,0.0007,0.001,0.071,0.128,237.0
130,Chris Brown,Turn Up the Music,2012,0.084,0.059,-0.006,0.0,0.001,0.0016,0.064,0.13,228.0
131,Ellie Goulding,Lights - Single Version,2012,0.08,0.068,-0.006,3e-05,0.0004,0.0013,0.078,0.12,211.0
132,fun.,We Are Young (feat. Janelle Monáe),2012,0.064,0.038,-0.006,2e-05,0.0008,0.0008,0.074,0.184,251.0
133,Rihanna,Diamonds,2012,0.071,0.056,-0.005,0.0,0.0005,0.0011,0.039,0.092,225.0
134,Pitbull,Don't Stop the Party (feat. TJR),2012,0.096,0.072,-0.004,1e-05,0.0009,0.0038,0.095,0.127,206.0
135,Rihanna,You Da One,2012,0.072,0.07,-0.005,0.0005,0.0004,0.0013,0.086,0.127,200.0
136,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2012,0.08,0.065,-0.003,3e-05,0.001,0.0027,0.08,0.09,211.0
137,Bruno Mars,It Will Rain,2012,0.084,0.058,-0.007,0.00034,0.0005,0.0008,0.048,0.15,258.0
138,P!nk,Blow Me (One Last Kiss),2012,0.092,0.06,-0.003,0.0,0.0004,0.0025,0.075,0.114,256.0
139,Kelly Clarkson,Underneath the Tree,2013,0.081,0.051,-0.005,0.0,0.0005,0.0021,0.069,0.16,230.0
140,Avicii,Wake Me Up,2013,0.078,0.053,-0.006,0.0,0.0005,0.0016,0.064,0.124,247.0
141,One Direction,Story of My Life,2013,0.066,0.06,-0.006,0.00023,0.0005,0.0012,0.029,0.121,245.0
142,P!nk,Just Give Me a Reason (feat. Nate Ruess),2013,0.055,0.078,-0.007,0.00035,0.0005,0.0013,0.044,0.095,243.0
143,The Script,Hall of Fame,2013,0.087,0.042,-0.004,7e-05,0.0006,0.0012,0.063,0.085,203.0
144,Katy Perry,Roar,2013,0.077,0.055,-0.005,0.0,0.0004,0.0035,0.046,0.18,224.0
145,Miley Cyrus,We Can't Stop,2013,0.062,0.061,-0.006,1e-05,0.0003,0.0037,0.048,0.08,231.0
146,Swedish House Mafia,Don't You Worry Child - Radio Edit,2013,0.084,0.061,-0.003,0.00011,0.0005,0.0012,0.044,0.129,213.0
147,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2013,0.081,0.079,-0.009,4e-05,0.0004,0.001,0.086,0.116,248.0
148,Miley Cyrus,Wrecking Ball,2013,0.042,0.053,-0.006,0.00041,0.0003,0.0011,0.035,0.12,221.0
149,James Arthur,Impossible,2013,0.07,0.038,-0.005,0.00014,0.0009,0.0011,0.03,0.17,209.0
150,Robin Thicke,Blurred Lines,2013,0.06,0.085,-0.005,0.0,0.0004,0.0008,0.084,0.12,264.0
